,buy,sell
360ONE,[],[]
3MINDIA,[],[]
ABB,[],[]
ACC,[],[]
AIAENG,[],[]
APLAPOLLO,[],[]
AUBANK,[],[]
AARTIDRUGS,[],[]
AARTIIND,[],[]
AAVAS,[],[]
ABBOTINDIA,[],[]
ADANIENT,[],[]
ADANIGREEN,[938.0999755859375],[]
ADANIPORTS,[],[]
ADANIPOWER,[],[]
ATGL,[],[]
ADANITRANS,[],[]
AWL,[],[]
ABCAPITAL,[],[]
ABFRL,[],[]
AEGISCHEM,[],[]
AETHER,[],[]
AFFLE,[],[]
AJANTPHARM,[],[1875.1500244140625]
APLLTD,[],[]
ALKEM,[],[4282.7001953125]
ALKYLAMINE,[],[]
AMARAJABAT,[],[]
AMBER,[],[3128.25]
AMBUJACEM,[],[]
ANGELONE,[],[]
ANURAS,[905.0999755859375],[]
APARINDS,[],[]
APOLLOHOSP,[],[5297.60009765625]
APOLLOTYRE,[],[]
APTUS,[],[]
ACI,[527.0999755859375],[]
ASAHIINDIA,[],[]
ASHOKLEY,[],[]
ASIANPAINT,[3080.199951171875],[]
ASTERDM,[],[]
ASTRAL,[1899.25],[]
ATUL,[6641.60009765625],[]
AUROPHARMA,[],[]
AVANTIFEED,[],[]
DMART,[],[]
AXISBANK,[],[]
BASF,[],[2846.0]
BEML,[],[]
BLS,[],[]
BSE,[],[1963.449951171875]
BAJAJ-AUTO,[],[5418.89990234375]
BAJFINANCE,[],[]
BAJAJFINSV,[],[]
BAJAJHLDNG,[],[]
BALAMINES,[],[]
BALKRISIND,[],[]
BALRAMCHIN,[],[]
BANDHANBNK,[],[]
BANKBARODA,[],[]
BANKINDIA,[],[]
MAHABANK,[],[]
BATAINDIA,[],[]
BAYERCROP,[],[]
BERGEPAINT,[],[]
BDL,[],[]
BEL,[],[]
BHARATFORG,[],[]
BHEL,[],[]
BPCL,[],[]
BHARTIARTL,[],[]
BIKAJI,[],[524.0]
BIOCON,[],[]
BIRLACORPN,[],[]
BSOFT,[],[]
BLUEDART,[],[]
BLUESTARCO,[],[]
BBTC,[],[]
BORORENEW,[],[]
BOSCHLTD,[],[]
BRIGADE,[],[]
BCG,[],[]
BRITANNIA,[],[]
MAPMYINDIA,[],[]
CCL,[],[]
CESC,[],[]
CGPOWER,[383.6499938964844],[]
CIEINDIA,[],[]
