,Sl No.,Company Name,Industry,Symbol
1,1,360 ONE WAM Ltd.,Financial Services,360ONE
2,2,3M India Ltd.,Diversified,3MINDIA
3,3,ABB India Ltd.,Capital Goods,ABB
4,4,ACC Ltd.,Construction Materials,ACC
5,5,AIA Engineering Ltd.,Capital Goods,AIAENG
6,6,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO
7,7,AU Small Finance Bank Ltd.,Financial Services,AUBANK
8,8,Aarti Drugs Ltd.,Healthcare,AARTIDRUGS
9,9,Aarti Industries Ltd.,Chemicals,AARTIIND
10,10,Aavas Financiers Ltd.,Financial Services,AAVAS
11,11,Abbott India Ltd.,Healthcare,ABBOTINDIA
12,12,Adani Enterprises Ltd.,Metals & Mining,ADANIENT
13,13,Adani Green Energy Ltd.,Power,ADANIGREEN
14,14,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS
15,15,Adani Power Ltd.,Power,ADANIPOWER
16,16,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL
17,17,Adani Transmission Ltd.,Power,ADANITRANS
18,18,Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL
19,19,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL
20,20,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL
21,21,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM
22,22,Aether Industries Ltd.,Chemicals,AETHER
23,23,Affle (India) Ltd.,Information Technology,AFFLE
24,24,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM
25,25,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD
26,26,Alkem Laboratories Ltd.,Healthcare,ALKEM
27,27,Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE
28,28,Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT
29,29,Amber Enterprises India Ltd.,Consumer Durables,AMBER
30,30,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM
31,31,Angel One Ltd.,Financial Services,ANGELONE
32,32,Anupam Rasayan India Ltd.,Chemicals,ANURAS
33,33,Apar Industries Ltd.,Capital Goods,APARINDS
34,34,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP
35,35,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE
36,36,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS
37,37,Archean Chemical Industries Ltd.,Chemicals,ACI
38,38,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA
39,39,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY
40,40,Asian Paints Ltd.,Consumer Durables,ASIANPAINT
41,41,Aster DM Healthcare Ltd.,Healthcare,ASTERDM
42,42,Astral Ltd.,Capital Goods,ASTRAL
43,43,Atul Ltd.,Chemicals,ATUL
44,44,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA
45,45,Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED
46,46,Avenue Supermarts Ltd.,Consumer Services,DMART
47,47,Axis Bank Ltd.,Financial Services,AXISBANK
48,48,BASF India Ltd.,Chemicals,BASF
49,49,BEML Ltd.,Capital Goods,BEML
50,50,BLS International Services Ltd.,Consumer Services,BLS
51,51,BSE Ltd.,Financial Services,BSE
52,52,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO
53,53,Bajaj Finance Ltd.,Financial Services,BAJFINANCE
54,54,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV
55,55,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG
56,56,Balaji Amines Ltd.,Chemicals,BALAMINES
57,57,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND
58,58,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN
59,59,Bandhan Bank Ltd.,Financial Services,BANDHANBNK
60,60,Bank of Baroda,Financial Services,BANKBARODA
61,61,Bank of India,Financial Services,BANKINDIA
62,62,Bank of Maharashtra,Financial Services,MAHABANK
63,63,Bata India Ltd.,Consumer Durables,BATAINDIA
64,64,Bayer Cropscience Ltd.,Chemicals,BAYERCROP
65,65,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT
66,66,Bharat Dynamics Ltd.,Capital Goods,BDL
67,67,Bharat Electronics Ltd.,Capital Goods,BEL
68,68,Bharat Forge Ltd.,Capital Goods,BHARATFORG
69,69,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL
